# tag	dest   (NotebookLM download name starts with the tag; deploy.sh matches by prefix)
ML01TE	story-01
ML01EN	story-01-en
ML02TE	story-02
ML02EN	story-02-en
ML03TE	story-03
ML03EN	story-03-en
ML04TE	story-04
ML04EN	story-04-en
ML05TE	story-05
ML05EN	story-05-en
ML06TE	story-06
ML06EN	story-06-en
ML07TE	story-07
ML07EN	story-07-en
ML08TE	story-08
ML08EN	story-08-en
ML09TE	story-09
ML09EN	story-09-en
ML10TE	story-10
ML10EN	story-10-en
ML11TE	story-11
ML11EN	story-11-en
ML12TE	story-12
ML12EN	story-12-en
